government,department,programme,subprogramme,financial_year,budget_phase,value
Eastern Cape,Education,EXAMINATION AND EDUCATION RELATED SERVICES,EXTERNAL EXAMINATIONS,2018,Main appropriation,339675108.40000004
Eastern Cape,Education,EXAMINATION AND EDUCATION RELATED SERVICES,EXTERNAL EXAMINATIONS,2019,Medium Term Estimates,361913000.0
Eastern Cape,Education,EXAMINATION AND EDUCATION RELATED SERVICES,EXTERNAL EXAMINATIONS,2020,Medium Term Estimates,399513000.0
Eastern Cape,Education,EXAMINATION AND EDUCATION RELATED SERVICES,PROFESSIONAL SERVICES,2018,Main appropriation,38319000.0
Eastern Cape,Education,EXAMINATION AND EDUCATION RELATED SERVICES,PROFESSIONAL SERVICES,2019,Medium Term Estimates,33022000.0
Eastern Cape,Education,EXAMINATION AND EDUCATION RELATED SERVICES,PROFESSIONAL SERVICES,2020,Medium Term Estimates,47498000.0
Eastern Cape,Education,EXAMINATION AND EDUCATION RELATED SERVICES,SPECIAL PROJECTS,2018,Main appropriation,1544587.7
Eastern Cape,Education,EXAMINATION AND EDUCATION RELATED SERVICES,SPECIAL PROJECTS,2019,Medium Term Estimates,1527000.0
Eastern Cape,Education,EXAMINATION AND EDUCATION RELATED SERVICES,SPECIAL PROJECTS,2020,Medium Term Estimates,1777000.0
Eastern Cape,Education,Independent School Subsidies,Primary Level,2018,Main appropriation,76364006.961154
Eastern Cape,Education,Independent School Subsidies,Primary Level,2019,Medium Term Estimates,80596000.0
Eastern Cape,Education,Independent School Subsidies,Primary Level,2020,Medium Term Estimates,85029000.0
Eastern Cape,Education,Independent School Subsidies,Secondary Level,2018,Main appropriation,54644832.042821504
Eastern Cape,Education,Independent School Subsidies,Secondary Level,2019,Medium Term Estimates,57749000.0
Eastern Cape,Education,Independent School Subsidies,Secondary Level,2020,Medium Term Estimates,60925000.0
Eastern Cape,Education,INFRASTRUCTURE DEVELOPMENT,Administration,2018,Main appropriation,128079382.0
Eastern Cape,Education,INFRASTRUCTURE DEVELOPMENT,Administration,2019,Medium Term Estimates,113458000.0
Eastern Cape,Education,INFRASTRUCTURE DEVELOPMENT,Administration,2020,Medium Term Estimates,145440000.0
Eastern Cape,Education,INFRASTRUCTURE DEVELOPMENT,Early Childhood Development,2018,Main appropriation,71380970.0
Eastern Cape,Education,INFRASTRUCTURE DEVELOPMENT,Early Childhood Development,2019,Medium Term Estimates,41287000.0
Eastern Cape,Education,INFRASTRUCTURE DEVELOPMENT,Early Childhood Development,2020,Medium Term Estimates,75579000.0
Eastern Cape,Education,INFRASTRUCTURE DEVELOPMENT,Public Ordinary Schools,2018,Main appropriation,1214337000.0
Eastern Cape,Education,INFRASTRUCTURE DEVELOPMENT,Public Ordinary Schools,2019,Medium Term Estimates,1212267000.0
Eastern Cape,Education,INFRASTRUCTURE DEVELOPMENT,Public Ordinary Schools,2020,Medium Term Estimates,1290109000.0
Eastern Cape,Education,INFRASTRUCTURE DEVELOPMENT,Special Schools,2018,Main appropriation,76030746.0
Eastern Cape,Education,INFRASTRUCTURE DEVELOPMENT,Special Schools,2019,Medium Term Estimates,27241000.0
Eastern Cape,Education,INFRASTRUCTURE DEVELOPMENT,Special Schools,2020,Medium Term Estimates,35932000.0
Eastern Cape,Education,PUBLIC SPECIAL SCHOOL EDUCATION,Conditional Grants,2018,Main appropriation,23957000.0
Eastern Cape,Education,PUBLIC SPECIAL SCHOOL EDUCATION,Conditional Grants,2019,Medium Term Estimates,28448000.0
Eastern Cape,Education,PUBLIC SPECIAL SCHOOL EDUCATION,Conditional Grants,2020,Medium Term Estimates,30910044.1259134
Eastern Cape,Education,PUBLIC SPECIAL SCHOOL EDUCATION,Human Resource Development,2018,Main appropriation,2855644.69070197
Eastern Cape,Education,PUBLIC SPECIAL SCHOOL EDUCATION,Human Resource Development,2019,Medium Term Estimates,3016000.0
Eastern Cape,Education,PUBLIC SPECIAL SCHOOL EDUCATION,Human Resource Development,2020,Medium Term Estimates,3182000.0
Eastern Cape,Education,PUBLIC SPECIAL SCHOOL EDUCATION,"School sport, culture and media services",2018,Main appropriation,4829475.936312799
Eastern Cape,Education,PUBLIC SPECIAL SCHOOL EDUCATION,"School sport, culture and media services",2019,Medium Term Estimates,6790000.0
Eastern Cape,Education,PUBLIC SPECIAL SCHOOL EDUCATION,"School sport, culture and media services",2020,Medium Term Estimates,7163000.0
Eastern Cape,Education,PUBLIC SPECIAL SCHOOL EDUCATION,SCHOOLS,2018,Main appropriation,774169442.7361411
Eastern Cape,Education,PUBLIC SPECIAL SCHOOL EDUCATION,SCHOOLS,2019,Medium Term Estimates,823311000.0
Eastern Cape,Education,PUBLIC SPECIAL SCHOOL EDUCATION,SCHOOLS,2020,Medium Term Estimates,868592000.0
Eastern Cape,Health,Administration,Office of the MEC,2018,Main appropriation,9870000.0
Eastern Cape,Health,Administration,Office of the MEC,2019,Medium Term Estimates,10555000.0
Eastern Cape,Health,Administration,Office of the MEC,2020,Medium Term Estimates,11289000.0
Eastern Cape,Health,Administration,MANAGEMENT,2018,Main appropriation,685329000.0
Eastern Cape,Health,Administration,MANAGEMENT,2019,Medium Term Estimates,731302000.0
Eastern Cape,Health,Administration,MANAGEMENT,2020,Medium Term Estimates,761818000.0
Eastern Cape,Health,Central Hospital Services,Central Hospital Services,2018,Main appropriation,1124285000.0
Eastern Cape,Health,Central Hospital Services,Central Hospital Services,2019,Medium Term Estimates,1129660000.0
Eastern Cape,Health,Central Hospital Services,Central Hospital Services,2020,Medium Term Estimates,1206503000.0
Eastern Cape,Health,Central Hospital Services,Provincial Tertiary Services,2018,Main appropriation,2323452000.0
Eastern Cape,Health,Central Hospital Services,Provincial Tertiary Services,2019,Medium Term Estimates,2526716000.0
Eastern Cape,Health,Central Hospital Services,Provincial Tertiary Services,2020,Medium Term Estimates,2707284000.0
Eastern Cape,Health,District Health Services,Community Based Services,2018,Main appropriation,551266000.0
Eastern Cape,Health,District Health Services,Community Based Services,2019,Medium Term Estimates,592494000.0
Eastern Cape,Health,District Health Services,Community Based Services,2020,Medium Term Estimates,637212000.0
