government,department,programme,subprogramme,financial_year,budget_phase,value
Limpopo,Social Development,Children and Families,ECD and Partial Care,2019,Medium Term Estimates,384058000.0
Limpopo,Social Development,Children and Families,ECD and Partial Care,2020,Medium Term Estimates,413341000.0
Limpopo,Social Development,Development and Research,Community Based Research and Planning,2018,Main appropriation,1622585.8
Limpopo,Social Development,Development and Research,Community Based Research and Planning,2019,Medium Term Estimates,1026000.0
Limpopo,Social Development,Development and Research,Community Based Research and Planning,2020,Medium Term Estimates,1081000.0
Limpopo,Social Development,Development and Research,Community Mibilisation,2018,Main appropriation,2452725.9
Limpopo,Social Development,Development and Research,Community Mibilisation,2019,Medium Term Estimates,2726000.0
Limpopo,Social Development,Development and Research,Community Mibilisation,2020,Medium Term Estimates,2876000.0
Limpopo,Social Development,Development and Research,Institutional Capacity Building and Support,2018,Main appropriation,15525165.0
Limpopo,Social Development,Development and Research,Institutional Capacity Building and Support,2019,Medium Term Estimates,7938000.0
Limpopo,Social Development,Development and Research,Institutional Capacity Building and Support,2020,Medium Term Estimates,8374000.0
Limpopo,Social Development,Development and Research,Mnagement and Support,2018,Main appropriation,118024403.60000001
Limpopo,Social Development,Development and Research,Mnagement and Support,2019,Medium Term Estimates,124633000.0
Limpopo,Social Development,Development and Research,Mnagement and Support,2020,Medium Term Estimates,131489000.0
Limpopo,Social Development,Development and Research,Population Policy Promotion,2018,Main appropriation,4632333.0
Limpopo,Social Development,Development and Research,Population Policy Promotion,2019,Medium Term Estimates,4892000.0
Limpopo,Social Development,Development and Research,Population Policy Promotion,2020,Medium Term Estimates,5161000.0
Limpopo,Social Development,Development and Research,Poverty Alleviation and Sustainable Livelihoods,2018,Main appropriation,33079299.8
Limpopo,Social Development,Development and Research,Poverty Alleviation and Sustainable Livelihoods,2019,Medium Term Estimates,34931000.0
Limpopo,Social Development,Development and Research,Poverty Alleviation and Sustainable Livelihoods,2020,Medium Term Estimates,36853000.0
Limpopo,Social Development,Development and Research,Women Develoment,2018,Main appropriation,4289315.800000001
Limpopo,Social Development,Development and Research,Women Develoment,2019,Medium Term Estimates,4815000.0
Limpopo,Social Development,Development and Research,Women Develoment,2020,Medium Term Estimates,5079000.0
Limpopo,Social Development,Development and Research,Youth Development,2018,Main appropriation,11800969.2
Limpopo,Social Development,Development and Research,Youth Development,2019,Medium Term Estimates,12725000.0
Limpopo,Social Development,Development and Research,Youth Development,2020,Medium Term Estimates,13427000.0
Limpopo,Social Development,Restorative Services,"Substance Abuse, Prevention and Rehabilitation",2018,Main appropriation,72548881.89999999
Limpopo,Social Development,Restorative Services,"Substance Abuse, Prevention and Rehabilitation",2019,Medium Term Estimates,77518000.0
Limpopo,Social Development,Restorative Services,"Substance Abuse, Prevention and Rehabilitation",2020,Medium Term Estimates,81781000.0
Limpopo,Social Development,Restorative Services,ADMINISTRATION,2018,Main appropriation,19959233.2
Limpopo,Social Development,Restorative Services,ADMINISTRATION,2019,Medium Term Estimates,21550000.0
Limpopo,Social Development,Restorative Services,ADMINISTRATION,2020,Medium Term Estimates,22735000.0
Limpopo,Social Development,Restorative Services,Crime Prevention and Support,2018,Main appropriation,59353496.7
Limpopo,Social Development,Restorative Services,Crime Prevention and Support,2019,Medium Term Estimates,59509000.0
Limpopo,Social Development,Restorative Services,Crime Prevention and Support,2020,Medium Term Estimates,62782000.0
Limpopo,Social Development,Restorative Services,Victim Empowerment,2018,Main appropriation,50211792.800000004
Limpopo,Social Development,Restorative Services,Victim Empowerment,2019,Medium Term Estimates,54644000.0
Limpopo,Social Development,Restorative Services,Victim Empowerment,2020,Medium Term Estimates,57650000.0
Limpopo,Social Development,Social Welfare Services,HIV and AIDS,2018,Main appropriation,187603831.10000002
Limpopo,Social Development,Social Welfare Services,HIV and AIDS,2019,Medium Term Estimates,195745000.0
Limpopo,Social Development,Social Welfare Services,HIV and AIDS,2020,Medium Term Estimates,206512000.0
Limpopo,Social Development,Social Welfare Services,Management and Support,2018,Main appropriation,63135301.6
Limpopo,Social Development,Social Welfare Services,Management and Support,2019,Medium Term Estimates,68924000.0
Limpopo,Social Development,Social Welfare Services,Management and Support,2020,Medium Term Estimates,72714000.0
Limpopo,Social Development,Social Welfare Services,Services to Older Persons,2018,Main appropriation,75364496.89999999
Limpopo,Social Development,Social Welfare Services,Services to Older Persons,2019,Medium Term Estimates,99106000.0
Limpopo,Social Development,Social Welfare Services,Services to Older Persons,2020,Medium Term Estimates,98149000.0
Limpopo,Social Development,Social Welfare Services,Services to the Older persons with Disabilities,2018,Main appropriation,84908484.0
Limpopo,Social Development,Social Welfare Services,Services to the Older persons with Disabilities,2019,Medium Term Estimates,84454000.0
Limpopo,Social Development,Social Welfare Services,Services to the Older persons with Disabilities,2020,Medium Term Estimates,89097000.0
Limpopo,Social Development,Social Welfare Services,Social Relief,2018,Main appropriation,1112010.9
Limpopo,Social Development,Social Welfare Services,Social Relief,2019,Medium Term Estimates,1174000.0
Limpopo,Social Development,Social Welfare Services,Social Relief,2020,Medium Term Estimates,1239000.0
Limpopo,"Sport, Arts And Culture",Administration,Corporate Services,2018,Main appropriation,146336000.0
Limpopo,"Sport, Arts And Culture",Administration,Corporate Services,2019,Medium Term Estimates,157199000.0
Limpopo,"Sport, Arts And Culture",Administration,Corporate Services,2020,Medium Term Estimates,167414000.0
Limpopo,"Sport, Arts And Culture",Administration,MEC's Office,2018,Main appropriation,8167000.0
Limpopo,"Sport, Arts And Culture",Administration,MEC's Office,2019,Medium Term Estimates,8674000.0
Limpopo,"Sport, Arts And Culture",Administration,MEC's Office,2020,Medium Term Estimates,9216000.0
Limpopo,"Sport, Arts And Culture",Cultural Affairs,Arts and Culture,2018,Main appropriation,22543000.0
Limpopo,"Sport, Arts And Culture",Cultural Affairs,Arts and Culture,2019,Medium Term Estimates,20119000.0
Limpopo,"Sport, Arts And Culture",Cultural Affairs,Arts and Culture,2020,Medium Term Estimates,21568000.0
Limpopo,"Sport, Arts And Culture",Cultural Affairs,Language Services,2018,Main appropriation,9022000.0
Limpopo,"Sport, Arts And Culture",Cultural Affairs,Language Services,2019,Medium Term Estimates,8611000.0
Limpopo,"Sport, Arts And Culture",Cultural Affairs,Language Services,2020,Medium Term Estimates,9170000.0
Limpopo,"Sport, Arts And Culture",Cultural Affairs,Museum and Heritage Resource Services,2018,Main appropriation,15451000.0
Limpopo,"Sport, Arts And Culture",Cultural Affairs,Museum and Heritage Resource Services,2019,Medium Term Estimates,11139000.0
Limpopo,"Sport, Arts And Culture",Cultural Affairs,Museum and Heritage Resource Services,2020,Medium Term Estimates,11853000.0
Limpopo,"Sport, Arts And Culture",Cultural Affairs,MANAGEMENT,2018,Main appropriation,364000.0
Limpopo,"Sport, Arts And Culture",Cultural Affairs,MANAGEMENT,2019,Medium Term Estimates,391000.0
Limpopo,"Sport, Arts And Culture",Cultural Affairs,MANAGEMENT,2020,Medium Term Estimates,417000.0
Limpopo,"Sport, Arts And Culture",Library and Archives,Archives Services,2018,Main appropriation,5897000.0
Limpopo,"Sport, Arts And Culture",Library and Archives,Archives Services,2019,Medium Term Estimates,6288000.0
Limpopo,"Sport, Arts And Culture",Library and Archives,Archives Services,2020,Medium Term Estimates,6618000.0
Limpopo,"Sport, Arts And Culture",Library and Archives,Library services,2018,Main appropriation,174658000.0
Limpopo,"Sport, Arts And Culture",Library and Archives,Library services,2019,Medium Term Estimates,180140000.0
Limpopo,"Sport, Arts And Culture",Library and Archives,Library services,2020,Medium Term Estimates,187098000.0
Limpopo,"Sport, Arts And Culture",Sport and Recreation,School Sports,2018,Main appropriation,79306000.0
Limpopo,"Sport, Arts And Culture",Sport and Recreation,School Sports,2019,Medium Term Estimates,83796000.0
Limpopo,"Sport, Arts And Culture",Sport and Recreation,School Sports,2020,Medium Term Estimates,88682000.0
Limpopo,"Sport, Arts And Culture",Sport and Recreation,Sports,2018,Main appropriation,8832000.0
Limpopo,"Sport, Arts And Culture",Sport and Recreation,Sports,2019,Medium Term Estimates,9477000.0
Limpopo,"Sport, Arts And Culture",Sport and Recreation,Sports,2020,Medium Term Estimates,10431000.0
Limpopo,"Sport, Arts And Culture",Sport and Recreation,MANAGEMENT,2018,Main appropriation,1688428.4
Limpopo,"Sport, Arts And Culture",Sport and Recreation,MANAGEMENT,2019,Medium Term Estimates,1704000.0
Limpopo,"Sport, Arts And Culture",Sport and Recreation,MANAGEMENT,2020,Medium Term Estimates,1815000.0
Limpopo,Transport,Administration,Corporate Support,2018,Main appropriation,595324976.4254
Limpopo,Transport,Administration,Corporate Support,2019,Medium Term Estimates,639733000.0
Limpopo,Transport,Administration,Corporate Support,2020,Medium Term Estimates,674635000.0
Limpopo,Transport,Administration,Departmental Strategy,2018,Main appropriation,7808809.6824
Limpopo,Transport,Administration,Departmental Strategy,2019,Medium Term Estimates,8245000.0
Limpopo,Transport,Administration,Departmental Strategy,2020,Medium Term Estimates,8698000.0
Limpopo,Transport,Administration,Management of the Department,2018,Main appropriation,15783232.9
Limpopo,Transport,Administration,Management of the Department,2019,Medium Term Estimates,16616000.0
Limpopo,Transport,Administration,Management of the Department,2020,Medium Term Estimates,17530000.0
Limpopo,Transport,Administration,Office of the MEC,2018,Main appropriation,2073000.0
Limpopo,Transport,Administration,Office of the MEC,2019,Medium Term Estimates,2191000.0
Limpopo,Transport,Administration,Office of the MEC,2020,Medium Term Estimates,2312000.0
Limpopo,Transport,Transport Operations,Infrastructure Operations,2018,Main appropriation,53380000.0
Limpopo,Transport,Transport Operations,Infrastructure Operations,2019,Medium Term Estimates,56476000.0
Limpopo,Transport,Transport Operations,Infrastructure Operations,2020,Medium Term Estimates,59582000.0
Limpopo,Transport,Transport Operations,Programme Support Operations,2018,Main appropriation,1461098.0
Limpopo,Transport,Transport Operations,Programme Support Operations,2019,Medium Term Estimates,1543000.0
Limpopo,Transport,Transport Operations,Programme Support Operations,2020,Medium Term Estimates,1627000.0
Limpopo,Transport,Transport Operations,Public Transport Services,2018,Main appropriation,761906462.0
Limpopo,Transport,Transport Operations,Public Transport Services,2019,Medium Term Estimates,797458000.0
Limpopo,Transport,Transport Operations,Public Transport Services,2020,Medium Term Estimates,847825000.0
Limpopo,Transport,Transport Operations,Transport Safety and Comliance,2018,Main appropriation,38943776.0
Limpopo,Transport,Transport Operations,Transport Safety and Comliance,2019,Medium Term Estimates,40896000.0
Limpopo,Transport,Transport Operations,Transport Safety and Comliance,2020,Medium Term Estimates,43145000.0
Limpopo,Transport,Transport Operations,Transport Systems,2018,Main appropriation,13245102.0
Limpopo,Transport,Transport Operations,Transport Systems,2019,Medium Term Estimates,13987000.0
Limpopo,Transport,Transport Operations,Transport Systems,2020,Medium Term Estimates,14757000.0
Limpopo,Transport,Transport Regulations,Law Enforcement,2018,Main appropriation,555205120.4
Limpopo,Transport,Transport Regulations,Law Enforcement,2019,Medium Term Estimates,561030000.0
Limpopo,Transport,Transport Regulations,Law Enforcement,2020,Medium Term Estimates,592172000.0
Limpopo,Transport,Transport Regulations,Operator Licence and Permits,2018,Main appropriation,33559206.0
Limpopo,Transport,Transport Regulations,Operator Licence and Permits,2019,Medium Term Estimates,31474000.0
Limpopo,Transport,Transport Regulations,Operator Licence and Permits,2020,Medium Term Estimates,33207000.0
Limpopo,Transport,Transport Regulations,Transport Administration and Licencing,2018,Main appropriation,25075880.8
Limpopo,Transport,Transport Regulations,Transport Administration and Licencing,2019,Medium Term Estimates,27124000.0
Limpopo,Transport,Transport Regulations,Transport Administration and Licencing,2020,Medium Term Estimates,28615000.0
Limpopo,Transport,Transport Regulations,Programme Support Regulation,2018,Main appropriation,2461632.0
Limpopo,Transport,Transport Regulations,Programme Support Regulation,2019,Medium Term Estimates,2599000.0
Limpopo,Transport,Transport Regulations,Programme Support Regulation,2020,Medium Term Estimates,2741000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Administration,Communication Services,2018,Main appropriation,12328000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Administration,Communication Services,2019,Medium Term Estimates,13350000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Administration,Communication Services,2020,Medium Term Estimates,14085000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Administration,Corporate Services,2018,Main appropriation,65813000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Administration,Corporate Services,2019,Medium Term Estimates,62305000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Administration,Corporate Services,2020,Medium Term Estimates,65733000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Administration,Financial Management,2018,Main appropriation,89995000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Administration,Financial Management,2019,Medium Term Estimates,97236000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Administration,Financial Management,2020,Medium Term Estimates,102585000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Administration,Office of the MEC,2018,Main appropriation,8534000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Administration,Office of the MEC,2019,Medium Term Estimates,7428000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Administration,Office of the MEC,2020,Medium Term Estimates,7839000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Administration,Senior Management,2018,Main appropriation,19827000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Administration,Senior Management,2019,Medium Term Estimates,18824000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Administration,Senior Management,2020,Medium Term Estimates,19860000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Agricultural Economics Services,Macroeconomics Support,2018,Main appropriation,8809000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Agricultural Economics Services,Macroeconomics Support,2019,Medium Term Estimates,11652000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Agricultural Economics Services,Macroeconomics Support,2020,Medium Term Estimates,9128000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Agricultural Economics Services,Production Economics and Marketing Support,2018,Main appropriation,3435000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Agricultural Economics Services,Production Economics and Marketing Support,2019,Medium Term Estimates,4397000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Agricultural Economics Services,Production Economics and Marketing Support,2020,Medium Term Estimates,4640000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",ENVIRONMENTAL AFFAIRS,CD: Office Support,2018,Main appropriation,2700000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",ENVIRONMENTAL AFFAIRS,CD: Office Support,2019,Medium Term Estimates,3709000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",ENVIRONMENTAL AFFAIRS,CD: Office Support,2020,Medium Term Estimates,3914000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",ENVIRONMENTAL AFFAIRS,Compliance and Enforcement,2018,Main appropriation,8939000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",ENVIRONMENTAL AFFAIRS,Compliance and Enforcement,2019,Medium Term Estimates,9113000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",ENVIRONMENTAL AFFAIRS,Compliance and Enforcement,2020,Medium Term Estimates,9615000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",ENVIRONMENTAL AFFAIRS,Environmental Empowerment Services,2018,Main appropriation,75284000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",ENVIRONMENTAL AFFAIRS,Environmental Empowerment Services,2019,Medium Term Estimates,72957000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",ENVIRONMENTAL AFFAIRS,Environmental Empowerment Services,2020,Medium Term Estimates,76970000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",ENVIRONMENTAL AFFAIRS,"Environmental Policy, Planning and Coordination",2018,Main appropriation,4743000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",ENVIRONMENTAL AFFAIRS,"Environmental Policy, Planning and Coordination",2019,Medium Term Estimates,4326000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",ENVIRONMENTAL AFFAIRS,"Environmental Policy, Planning and Coordination",2020,Medium Term Estimates,4564000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",ENVIRONMENTAL AFFAIRS,Environmental Quality Management,2018,Main appropriation,23843000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",ENVIRONMENTAL AFFAIRS,Environmental Quality Management,2019,Medium Term Estimates,24421000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",ENVIRONMENTAL AFFAIRS,Environmental Quality Management,2020,Medium Term Estimates,25764000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Research and Technology Development Services,Research Infrastructure Support,2018,Main appropriation,20922000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Research and Technology Development Services,Research Infrastructure Support,2019,Medium Term Estimates,22205000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Research and Technology Development Services,Research Infrastructure Support,2020,Medium Term Estimates,23426000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Research and Technology Development Services,Research.,2018,Main appropriation,32827000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Research and Technology Development Services,Research.,2019,Medium Term Estimates,33343000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Research and Technology Development Services,Research.,2020,Medium Term Estimates,35179000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Research and Technology Development Services,Technology Transfer,2018,Main appropriation,9029000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Research and Technology Development Services,Technology Transfer,2019,Medium Term Estimates,10063000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Research and Technology Development Services,Technology Transfer,2020,Medium Term Estimates,10616000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Rural Development Coordination,Social Facilitation,2018,Main appropriation,5666000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Rural Development Coordination,Social Facilitation,2019,Medium Term Estimates,6166000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Rural Development Coordination,Social Facilitation,2020,Medium Term Estimates,6505000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Rural Development Coordination,Rural Development Coordination,2018,Main appropriation,18227000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Rural Development Coordination,Rural Development Coordination,2019,Medium Term Estimates,19850000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Rural Development Coordination,Rural Development Coordination,2020,Medium Term Estimates,20942000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Structured Agricultural Education and Training,Agricultural Skills Development,2018,Main appropriation,21539000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Structured Agricultural Education and Training,Agricultural Skills Development,2019,Medium Term Estimates,23249000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Structured Agricultural Education and Training,Agricultural Skills Development,2020,Medium Term Estimates,24526000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Structured Agricultural Education and Training,HIGHER EDUCATION AND TRAINING,2018,Main appropriation,0.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Structured Agricultural Education and Training,HIGHER EDUCATION AND TRAINING,2019,Medium Term Estimates,0.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Structured Agricultural Education and Training,HIGHER EDUCATION AND TRAINING,2020,Medium Term Estimates,0.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Sustainable Resource Management,Disaster Risk Management,2018,Main appropriation,9288000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Sustainable Resource Management,Disaster Risk Management,2019,Medium Term Estimates,2780000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Sustainable Resource Management,Disaster Risk Management,2020,Medium Term Estimates,2934000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Sustainable Resource Management,Engineering Services,2018,Main appropriation,25565000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Sustainable Resource Management,Engineering Services,2019,Medium Term Estimates,28547000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Sustainable Resource Management,Engineering Services,2020,Medium Term Estimates,30116000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Sustainable Resource Management,Land Care Services,2018,Main appropriation,14316000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Sustainable Resource Management,Land Care Services,2019,Medium Term Estimates,14954000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Sustainable Resource Management,Land Care Services,2020,Medium Term Estimates,15775000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Sustainable Resource Management,Land Use Management,2018,Main appropriation,32721000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Sustainable Resource Management,Land Use Management,2019,Medium Term Estimates,30493000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Sustainable Resource Management,Land Use Management,2020,Medium Term Estimates,32170000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",FARMER SUPPORT AND DEVELOPMENT,Extension and Advisory Services,2018,Main appropriation,284643000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",FARMER SUPPORT AND DEVELOPMENT,Extension and Advisory Services,2019,Medium Term Estimates,293897000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",FARMER SUPPORT AND DEVELOPMENT,Extension and Advisory Services,2020,Medium Term Estimates,289928000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",FARMER SUPPORT AND DEVELOPMENT,Farmer-settlement and Development,2018,Main appropriation,149131000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",FARMER SUPPORT AND DEVELOPMENT,Farmer-settlement and Development,2019,Medium Term Estimates,99344000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",FARMER SUPPORT AND DEVELOPMENT,Farmer-settlement and Development,2020,Medium Term Estimates,130014000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",FARMER SUPPORT AND DEVELOPMENT,Food Security,2018,Main appropriation,86305000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",FARMER SUPPORT AND DEVELOPMENT,Food Security,2019,Medium Term Estimates,161118000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",FARMER SUPPORT AND DEVELOPMENT,Food Security,2020,Medium Term Estimates,169981000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Veterinary Services,Animal Health,2018,Main appropriation,105140000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Veterinary Services,Animal Health,2019,Medium Term Estimates,107692000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Veterinary Services,Animal Health,2020,Medium Term Estimates,113615000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Veterinary Services,Veterinary Laboratory Services,2018,Main appropriation,13046000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Veterinary Services,Veterinary Laboratory Services,2019,Medium Term Estimates,12111000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Veterinary Services,Veterinary Laboratory Services,2020,Medium Term Estimates,12777000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Veterinary Services,Veterinary Public Health,2018,Main appropriation,27822000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Veterinary Services,Veterinary Public Health,2019,Medium Term Estimates,28337000.0
Mpumalanga,"Agriculture, Rural Development, Land And Environmental Affairs",Veterinary Services,Veterinary Public Health,2020,Medium Term Estimates,29896000.0
Mpumalanga,"Community Safety, Security And Liaison",Administration,Corporate Services,2018,Main appropriation,47220000.0
Mpumalanga,"Community Safety, Security And Liaison",Administration,Corporate Services,2019,Medium Term Estimates,48179000.0
Mpumalanga,"Community Safety, Security And Liaison",Administration,Corporate Services,2020,Medium Term Estimates,50511000.0
Mpumalanga,"Community Safety, Security And Liaison",Administration,Financial Management,2018,Main appropriation,69652000.0
Mpumalanga,"Community Safety, Security And Liaison",Administration,Financial Management,2019,Medium Term Estimates,73907000.0
Mpumalanga,"Community Safety, Security And Liaison",Administration,Financial Management,2020,Medium Term Estimates,81732000.0
Mpumalanga,"Community Safety, Security And Liaison",Administration,Legal Services,2018,Main appropriation,5049000.0
Mpumalanga,"Community Safety, Security And Liaison",Administration,Legal Services,2019,Medium Term Estimates,4823000.0
Mpumalanga,"Community Safety, Security And Liaison",Administration,Legal Services,2020,Medium Term Estimates,5403000.0
Mpumalanga,"Community Safety, Security And Liaison",Administration,Office of HOD,2018,Main appropriation,4382000.0
Mpumalanga,"Community Safety, Security And Liaison",Administration,Office of HOD,2019,Medium Term Estimates,4184000.0
Mpumalanga,"Community Safety, Security And Liaison",Administration,Office of HOD,2020,Medium Term Estimates,4362000.0
Mpumalanga,"Community Safety, Security And Liaison",Administration,Office of MEC,2018,Main appropriation,8308000.0
Mpumalanga,"Community Safety, Security And Liaison",Administration,Office of MEC,2019,Medium Term Estimates,8239000.0
Mpumalanga,"Community Safety, Security And Liaison",Administration,Office of MEC,2020,Medium Term Estimates,8628000.0
Mpumalanga,"Community Safety, Security And Liaison",Civilian Oversight,Community Police Relations,2018,Main appropriation,25770000.0
Mpumalanga,"Community Safety, Security And Liaison",Civilian Oversight,Community Police Relations,2019,Medium Term Estimates,27928000.0
Mpumalanga,"Community Safety, Security And Liaison",Civilian Oversight,Community Police Relations,2020,Medium Term Estimates,31997000.0
Mpumalanga,"Community Safety, Security And Liaison",Civilian Oversight,Monitoring and Evaluation,2018,Main appropriation,11929000.0
Mpumalanga,"Community Safety, Security And Liaison",Civilian Oversight,Monitoring and Evaluation,2019,Medium Term Estimates,12030000.0
Mpumalanga,"Community Safety, Security And Liaison",Civilian Oversight,Monitoring and Evaluation,2020,Medium Term Estimates,11215000.0
Mpumalanga,"Community Safety, Security And Liaison",Civilian Oversight,Policy and Research,2018,Main appropriation,4483000.0
Mpumalanga,"Community Safety, Security And Liaison",Civilian Oversight,Policy and Research,2019,Medium Term Estimates,4734000.0
Mpumalanga,"Community Safety, Security And Liaison",Civilian Oversight,Policy and Research,2020,Medium Term Estimates,4993000.0
Mpumalanga,"Community Safety, Security And Liaison",Civilian Oversight,Programme Support,2018,Main appropriation,328000.0
Mpumalanga,"Community Safety, Security And Liaison",Civilian Oversight,Programme Support,2019,Medium Term Estimates,345000.0
Mpumalanga,"Community Safety, Security And Liaison",Civilian Oversight,Programme Support,2020,Medium Term Estimates,364000.0
Mpumalanga,"Community Safety, Security And Liaison",Civilian Oversight,Promotion of Safety,2018,Main appropriation,17712000.0
Mpumalanga,"Community Safety, Security And Liaison",Civilian Oversight,Promotion of Safety,2019,Medium Term Estimates,17653000.0
Mpumalanga,"Community Safety, Security And Liaison",Civilian Oversight,Promotion of Safety,2020,Medium Term Estimates,16619000.0
Mpumalanga,"Community Safety, Security And Liaison",Security  Management,Provincial Security Operation,2018,Main appropriation,453329000.0
Mpumalanga,"Community Safety, Security And Liaison",Security  Management,Provincial Security Operation,2019,Medium Term Estimates,468288000.0
